Gene,meanTumor,meanControl,Pvalue,Log2FC
N_unmapped,16.720774155061637,16.94273293471545,0.39857962875173514,-0.22195877965381428
N_multimapping,16.822612992126068,16.658236156322662,0.08843459977239587,0.1643768358034059
N_noFeature,15.796585575496119,15.841809180033836,0.7737049510895524,-0.045223604537717677
N_ambiguous,15.740068291018012,15.639749538453962,0.09686847586168854,0.10031875256404987
ENSG00000223972,0.0,0.0,1.0,0.0
ENSG00000227232,0.0,0.007436327382350448,0.5414697392755848,-0.007436327382350448
ENSG00000243485,0.0,0.0,1.0,0.0
ENSG00000237613,0.0,0.0,1.0,0.0
ENSG00000268020,0.0,0.0,1.0,0.0
ENSG00000240361,0.0,0.0,1.0,0.0
ENSG00000186092,0.0,0.0,1.0,0.0
ENSG00000238009,0.0,0.0,1.0,0.0
ENSG00000239945,0.0,0.0,1.0,0.0
ENSG00000233750,0.0,0.0,1.0,0.0
ENSG00000237683,0.0,0.0,1.0,0.0
ENSG00000268903,0.0,0.0,1.0,0.0
ENSG00000269981,0.0,0.0,1.0,0.0
ENSG00000239906,0.0,0.0,1.0,0.0
ENSG00000241860,0.0,0.0,1.0,0.0
ENSG00000222623,0.0,0.0,1.0,0.0
ENSG00000241599,0.0,0.0,1.0,0.0
ENSG00000228463,0.1816187072915482,0.0,0.1778078083562211,0.1816187072915482
ENSG00000235249,0.0,0.0,1.0,0.0
ENSG00000236601,0.0,0.0,1.0,0.0
ENSG00000236743,0.0,0.0,1.0,0.0
ENSG00000230021,0.1295454215808179,0.0,0.008101438210888953,0.1295454215808179
ENSG00000235146,0.0,0.0,1.0,0.0
ENSG00000225972,0.22887624017983166,0.28306863407059235,0.6186645186778688,-0.05419239389076069
ENSG00000225630,6.208100034858548,6.055671936938351,0.21461409429238493,0.15242809792019685
ENSG00000237973,3.460042934212831,2.807746274438048,0.3040273108165533,0.652296659774783
ENSG00000229344,2.795323497729421,2.6611013971717155,0.32999157131162976,0.13422210055770556
ENSG00000240409,0.3343064585469099,0.45582873651774486,0.3094091928625503,-0.12152227797083498
ENSG00000248527,8.621588228537167,8.033615577120935,0.061690388360487916,0.5879726514162318
ENSG00000198744,1.4083513160956498,1.1387656756598838,0.42217687258686726,0.26958564043576594
ENSG00000268663,0.0,0.0,1.0,0.0
ENSG00000284662,0.014669448619942559,0.0,0.17780780835622126,0.014669448619942559
ENSG00000229376,0.0,0.0,1.0,0.0
ENSG00000228327,0.08640280086265954,0.48496467299955814,0.4070259189243624,-0.3985618721368986
ENSG00000235373,0.04449429068414344,0.0,0.1778078083562211,0.04449429068414344
ENSG00000223181,0.0,0.0,1.0,0.0
ENSG00000229905,0.0,0.0,1.0,0.0
ENSG00000237491,0.6118297634974594,0.030264618095316272,0.19818099128913208,0.5815651454021432
ENSG00000230092,0.059163739304086,0.4912767561448015,0.5089496973909007,-0.43211301684071546
ENSG00000269831,0.08640280086265954,0.02045589923018128,0.34162679890470293,0.06594690163247827
ENSG00000177757,0.0,0.0,1.0,0.0
ENSG00000228794,2.2254243634104163,1.2256238301752567,0.46289971037580613,0.9998005332351596
ENSG00000225880,0.0,0.02439391529258244,0.32993352351072974,-0.02439391529258244
ENSG00000230368,0.0,0.0366364428298333,0.31817751908418523,-0.0366364428298333
ENSG00000234711,0.0,0.0,1.0,0.0
ENSG00000283040,0.0,0.0,1.0,0.0
ENSG00000269308,0.0,0.0,1.0,0.0
ENSG00000272438,0.0,0.0,1.0,0.0
